Feature,Importance
kw_avg_avg,0.052877635
self_reference_min_shares,0.044451576
kw_min_min,0.03828253
self_reference_avg_sharess,0.037400622
kw_max_avg,0.033077814
kw_min_avg,0.03020104
num_imgs,0.028108312
min_positive_polarity,0.02753938
LDA_04,0.026963755
LDA_01,0.02465209
LDA_00,0.024116945
n_unique_tokens,0.02376603
kw_avg_max,0.0235805
num_hrefs,0.023308124
LDA_02,0.02314603
kw_avg_min,0.022770919
kw_min_max,0.02209358
n_non_stop_unique_tokens,0.021848153
num_videos,0.021627916
self_reference_max_shares,0.021384582
